USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23440 13748 ?        Ss   17:48   0:01 /sbin/init splash
root          65  0.0  0.0      0     0 ?        S    17:48   0:00 [migration/8]
root          66  0.0  0.0      0     0 ?        S    17:48   0:00 [ksoftirqd/8]
root          68  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/8:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    17:48   0:00 [cpuhp/9]
root          70  0.0  0.0      0     0 ?        S    17:48   0:00 [idle_inject/9]
root          71  0.0  0.0      0     0 ?        S    17:48   0:00 [migration/9]
root          72  0.0  0.0      0     0 ?        S    17:48   0:00 [ksoftirqd/9]
root          74  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/9:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    17:48   0:00 [cpuhp/10]
root          76  0.0  0.0      0     0 ?        S    17:48   0:00 [idle_inject/10]
root          77  0.0  0.0      0     0 ?        S    17:48   0:00 [migration/10]
root          78  0.0  0.0      0     0 ?        S    17:48   0:00 [ksoftirqd/10]
root          80  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/10:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    17:48   0:00 [cpuhp/11]
root          82  0.0  0.0      0     0 ?        S    17:48   0:00 [idle_inject/11]
root          83  0.0  0.0      0     0 ?        S    17:48   0:00 [migration/11]
root          84  0.0  0.0      0     0 ?        S    17:48   0:00 [ksoftirqd/11]
root          86  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/11:0H-events_highpri]
root          89  0.0  0.0      0     0 ?        S    17:48   0:00 [kdevtmpfs]
root          90  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-inet_]
root          92  0.0  0.0      0     0 ?        S    17:48   0:00 [kauditd]
root          96  0.0  0.0      0     0 ?        S    17:48   0:00 [khungtaskd]
root          98  0.0  0.0      0     0 ?        S    17:48   0:00 [oom_reaper]
root          99  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-write]
root         100  0.0  0.0      0     0 ?        S    17:48   0:00 [kcompactd0]
root         101  0.0  0.0      0     0 ?        SN   17:48   0:00 [ksmd]
root         102  0.0  0.0      0     0 ?        SN   17:48   0:00 [khugepaged]
root         103  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-kinte]
root         104  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-kbloc]
root         105  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-blkcg]
root         106  0.0  0.0      0     0 ?        S    17:48   0:00 [irq/9-acpi]
root         109  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-tpm_d]
root         110  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-ata_s]
root         111  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-md]
root         112  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-md_bi]
root         113  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-edac-]
root         115  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-devfr]
root         116  0.0  0.0      0     0 ?        S    17:48   0:00 [watchdogd]
root         117  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/2:1H-kblockd]
root         118  0.0  0.0      0     0 ?        S    17:48   0:00 [kswapd0]
root         119  0.0  0.0      0     0 ?        S    17:48   0:00 [ecryptfs-kthread]
root         120  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-kthro]
root         124  0.0  0.0      0     0 ?        I    17:48   0:00 [kworker/7:1-events]
root         129  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-acpi_]
root         131  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-mld]
root         132  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-ipv6_]
root         134  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/1:1H-kblockd]
root         142  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-kstrp]
root         144  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/u67:0]
root         145  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/u68:0-ttm]
root         152  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-crypt]
root         162  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-charg]
root         195  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/10:1H-kblockd]
root         204  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/9:1H-kblockd]
root         207  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/0:1H-kblockd]
root         211  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/6:1H-kblockd]
root         214  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/5:1H-kblockd]
root         215  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/8:1H-kblockd]
root         219  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/3:1H-kblockd]
root         220  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/4:1H-kblockd]
root         234  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_0]
root         236  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         238  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_1]
root         239  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         241  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_2]
root         242  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         244  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_3]
root         245  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         246  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_4]
root         248  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         249  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_5]
root         251  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         252  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_6]
root         253  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         255  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_7]
root         256  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         265  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_8]
root         266  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         267  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_9]
root         268  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         272  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_10]
root         273  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         275  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/11:1H-kblockd]
root         292  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/7:1H-kblockd]
root         299  0.0  0.0      0     0 ?        S    17:48   0:00 [scsi_eh_11]
root         300  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-scsi_]
root         301  0.0  0.0      0     0 ?        S    17:48   0:00 [usb-storage]
root         302  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-uas]
root         333  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-raid5]
root         419  0.0  0.0      0     0 ?        S    17:48   0:00 [jbd2/sdb3-8]
root         420  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-ext4-]
root         482  0.0  0.0  83496 16728 ?        S<s  17:48   0:00 /usr/lib/systemd/systemd-journald
root         512  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-rpcio]
root         513  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-xprti]
root         515  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-nvme-]
root         516  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-nvme-]
root         517  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-nvme-]
root         518  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-nvme-]
root         565  0.0  0.0  30200  7936 ?        Ss   17:48   0:00 /usr/lib/systemd/systemd-udevd
root         572  0.0  0.0      0     0 ?        S    17:48   0:00 [psimon]
root         978  0.0  0.0      0     0 ?        S    17:48   0:00 [jbd2/sda1-8]
root         979  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-ext4-]
root         986  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-amdgp]
root         987  0.0  0.0      0     0 ?        S    17:48   0:00 [jbd2/sdb4-8]
root         988  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-ext4-]
root         992  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-ttm]
root         993  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-amdgp]
root         994  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-amdgp]
root         995  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-amdgp]
root         996  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-dm_vb]
root         997  0.0  0.0      0     0 ?        S    17:48   0:00 [card1-crtc0]
root         998  0.0  0.0      0     0 ?        S    17:48   0:00 [card1-crtc1]
root         999  0.0  0.0      0     0 ?        S    17:48   0:00 [card1-crtc2]
root        1000  0.0  0.0      0     0 ?        S    17:48   0:00 [card1-crtc3]
root        1012  0.0  0.0      0     0 ?        S<   17:48   0:00 [spl_system_task]
root        1013  0.0  0.0      0     0 ?        S<   17:48   0:00 [spl_delay_taskq]
root        1014  0.0  0.0      0     0 ?        S<   17:48   0:00 [spl_dynamic_tas]
root        1015  0.0  0.0      0     0 ?        S<   17:48   0:00 [spl_kmem_cache]
root        1017  0.0  0.0      0     0 ?        S<   17:48   0:00 [zvol]
root        1018  0.0  0.0      0     0 ?        S    17:48   0:00 [arc_prune]
root        1019  0.0  0.0      0     0 ?        S    17:48   0:00 [arc_evict]
root        1020  0.0  0.0      0     0 ?        SN   17:48   0:00 [arc_reap]
root        1021  0.0  0.0      0     0 ?        S    17:48   0:00 [dbu_evict]
root        1022  0.0  0.0      0     0 ?        SN   17:48   0:00 [dbuf_evict]
root        1023  0.0  0.0      0     0 ?        SN   17:48   0:00 [z_vdev_file]
root        1024  0.0  0.0      0     0 ?        S    17:48   0:00 [l2arc_feed]
_rpc        1192  0.0  0.0   7968  3840 ?        Ss   17:48   0:00 /sbin/rpcbind -f -w
systemd+    1193  0.0  0.0  21840 12800 ?        Ss   17:48   0:00 /usr/lib/systemd/systemd-resolved
systemd+    1194  0.0  0.0  91560  8192 ?        Ssl  17:48   0:00 /usr/lib/systemd/systemd-timesyncd
root        1205  0.0  0.0   5140  1536 ?        Ss   17:48   0:00 /usr/sbin/blkmapd
root        1213  0.0  0.0   5632  2688 ?        Ss   17:48   0:00 /usr/sbin/nfsdcld
root        1264  0.0  0.0 316472  8148 ?        Ssl  17:48   0:00 /usr/libexec/accounts-daemon
avahi       1266  0.0  0.0   8796  4224 ?        Ss   17:48   0:00 avahi-daemon: running [a108pc03.local]
message+    1268  0.0  0.0  11940  6400 ?        Ss   17:48   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1272  0.0  0.0   5428  3456 ?        Ss   17:48   0:00 /usr/sbin/fsidd
root        1277  0.0  0.0  83016  3968 ?        Ssl  17:48   0:00 /usr/sbin/irqbalance
polkitd     1305  0.0  0.0 311308 10700 ?        Ssl  17:48   0:00 /usr/lib/polkit-1/polkitd --no-debug
root        1306  0.0  0.0 316380  7296 ?        Ssl  17:48   0:00 /usr/libexec/power-profiles-daemon
prometh+    1312  0.0  0.0 1611376 15616 ?       Ssl  17:48   0:00 /usr/bin/prometheus-node-exporter
root        1315  0.0  0.0  12560  6656 ?        Ss   17:48   0:00 /usr/sbin/smartd -n
root        1319  0.0  0.0 312468  6528 ?        Ssl  17:48   0:00 /usr/libexec/switcheroo-control
root        1320  0.0  0.0  18136  8796 ?        Ss   17:48   0:00 /usr/lib/systemd/systemd-logind
root        1321  0.0  0.0  17540  7680 ?        Ss   17:48   0:00 /usr/lib/systemd/systemd-machined
root        1323  0.0  0.0 258812 14464 ?        Ssl  17:48   0:04 /usr/bin/touchegg --daemon
root        1325  0.0  0.0 469572 14176 ?        Ssl  17:48   0:00 /usr/libexec/udisks2/udisksd
root        1334  0.0  0.0  76492 14720 ?        Ss   17:48   0:00 /usr/sbin/virtlockd
root        1335  0.0  0.0  76496 14848 ?        Ss   17:48   0:00 /usr/sbin/virtlogd
root        1344  0.0  0.0 102120  5248 ?        Ssl  17:48   0:00 zed -F
avahi       1352  0.0  0.0   8424  1284 ?        S    17:48   0:00 avahi-daemon: chroot helper
syslog      1356  0.0  0.0 222508  6016 ?        Ssl  17:48   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1916  0.0  0.0 341388 20908 ?        Ssl  17:48   0:00 /usr/sbin/NetworkManager --no-daemon
root        1917  0.0  0.0  17380  6016 ?        Ss   17:48   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1940  0.0  0.0 318356 12348 ?        Ssl  17:48   0:00 /usr/sbin/ModemManager
root        2067  0.0  0.0      0     0 ?        S    17:48   0:00 [psimon]
root        2075  0.0  0.0  40692 11776 ?        Ss   17:48   0:00 /usr/sbin/cupsd -l
root        2088  0.0  0.1 2467536 48552 ?       Ssl  17:48   0:01 /usr/bin/containerd
colord      2108  0.0  0.0 323132 14892 ?        Ssl  17:48   0:00 /usr/libexec/colord
root        2120  0.0  0.0  88056 20992 ?        Ss   17:48   0:00 /usr/sbin/winbindd --foreground --no-process-group
root        2147  0.0  0.0  88856 15152 ?        S    17:48   0:00 winbindd: domain child [A108PC03]
cups-br+    2207  0.0  0.0 268656 19840 ?        Ssl  17:48   0:00 /usr/sbin/cups-browsed
root        2208  0.0  0.2 4426296 84508 ?       Ssl  17:48   0:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        2209  0.0  0.0   9812  7808 ?        Ss   17:48   0:00 socat -T 60 openssl-connect:server:789,cafile=/etc/epoptes/server.crt,openssl-no-sni,openssl-commonname="",interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
root        2219  0.0  0.0  12040  2688 ?        Ss   17:48   0:00 /usr/sbin/cron -f -P
root        2220  0.0  0.0   3008  2308 ?        Ss   17:48   0:00 /usr/sbin/rpc.idmapd
statd       2224  0.0  0.0   4560  1796 ?        Ss   17:48   0:00 /usr/sbin/rpc.statd
root        2229  0.0  0.0  43212  1744 ?        Ss   17:48   0:00 /usr/sbin/rpc.mountd
kernoops    2273  0.0  0.0  12744  2204 ?        Ss   17:48   0:00 /usr/sbin/kerneloops --test
root        2277  0.0  0.0 380088  6992 ?        SLsl 17:48   0:00 /usr/sbin/lightdm
kernoops    2281  0.0  0.0  12744  2196 ?        Ss   17:48   0:00 /usr/sbin/kerneloops
root        2288  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-ipmi-]
root        2292  0.0  0.0      0     0 ?        I    17:48   0:00 [lockd]
root        2311  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-iprt-]
root        2315  0.0  0.0      0     0 ?        I<   17:48   0:00 [kworker/R-tls-s]
root        2316  0.0  0.0      0     0 ?        S    17:48   0:00 [iprt-VBoxTscThread]
root        2320  0.0  0.0   2800  1792 ?        S    17:48   0:00 epoptes-client
root        2356  2.0  0.4 1285508 149508 tty7   Ssl+ 17:48   2:00 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        2369  0.0  0.0  11320  1920 tty1     Ss+  17:48   0:00 /sbin/agetty -o -p -- \u --noclear - linux
root        2371  0.0  0.0      0     0 ?        I    17:48   0:00 [nfsd]
root        2372  0.0  0.0      0     0 ?        I    17:48   0:00 [nfsd]
root        2373  0.0  0.0      0     0 ?        I    17:48   0:00 [nfsd]
root        2374  0.0  0.0      0     0 ?        I    17:48   0:00 [nfsd]
root        2375  0.0  0.0      0     0 ?        I    17:48   0:00 [nfsd]
root        2376  0.0  0.0      0     0 ?        I    17:48   0:00 [nfsd]
root        2377  0.0  0.0      0     0 ?        I    17:48   0:00 [nfsd]
root        2378  0.0  0.0      0     0 ?        I    17:48   0:00 [nfsd]
root        2414  0.0  0.0 228108 26260 ?        Ss   17:48   0:00 /usr/sbin/apache2 -k start
www-data    2430  0.0  0.0 228752 12624 ?        S    17:48   0:00 /usr/sbin/apache2 -k start
www-data    2431  0.0  0.0 228752 12624 ?        S    17:48   0:00 /usr/sbin/apache2 -k start
www-data    2433  0.0  0.0 228752 12624 ?        S    17:48   0:00 /usr/sbin/apache2 -k start
www-data    2434  0.0  0.0 228752 12624 ?        S    17:48   0:00 /usr/sbin/apache2 -k start
www-data    2435  0.0  0.0 228752 12624 ?        S    17:48   0:00 /usr/sbin/apache2 -k start
libvirt+    2482  0.0  0.0  11484  2092 ?        S    17:48   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        2483  0.0  0.0  11484  1068 ?        S    17:48   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
rtkit       2570  0.0  0.0  22940  3328 ?        SNsl 17:49   0:00 /usr/libexec/rtkit-daemon
root        2648  0.0  0.0 320172  9856 ?        Ssl  17:49   0:00 /usr/libexec/upowerd
root        2793  0.0  0.0 236748  8936 ?        Sl   17:49   0:00 lightdm --session-child 13 20
root        3497  0.0  0.0 1238360 14052 ?       Sl   17:49   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5df934926b0f1fcae370ac4d81a091d31014ed4fc6bbd199b02e9a4020afa491 -address /run/containerd/containerd.sock
root        3519  0.0  0.0 223476 29556 ?        Ss   17:49   0:00 apache2 -DFOREGROUND
root        3592  0.0  0.0 1745340 4352 ?        Sl   17:49   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
root        3599  0.0  0.0 1745340 4096 ?        Sl   17:49   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
www-data    3632  0.0  0.0 223508  8704 ?        S    17:49   0:00 apache2 -DFOREGROUND
www-data    3633  0.0  0.0 223508  8704 ?        S    17:49   0:00 apache2 -DFOREGROUND
www-data    3634  0.0  0.0 223508  8704 ?        S    17:49   0:00 apache2 -DFOREGROUND
www-data    3635  0.0  0.0 223508  8704 ?        S    17:49   0:00 apache2 -DFOREGROUND
www-data    3636  0.0  0.0 223508  8704 ?        S    17:49   0:00 apache2 -DFOREGROUND
dam         3670  0.0  0.0  20632 11648 ?        Ss   17:49   0:00 /usr/lib/systemd/systemd --user
dam         3671  0.0  0.0  23244  3732 ?        S    17:49   0:00 (sd-pam)
dam         3681  0.0  0.0 118060 13788 ?        S<sl 17:49   0:00 /usr/bin/pipewire
dam         3683  0.0  0.0 100352  5760 ?        Ssl  17:49   0:00 /usr/bin/pipewire -c filter-chain.conf
dam         3684  0.0  0.0  41212 25728 ?        Ss   17:49   0:00 /usr/bin/python3 /usr/bin/powerline-daemon --foreground
dam         3685  0.0  0.1 570536 33052 ?        S<sl 17:49   0:00 /usr/bin/wireplumber
dam         3686  0.0  0.0 118788 16792 ?        S<sl 17:49   0:00 /usr/bin/pipewire-pulse
dam         3687  0.0  0.0 319488 10112 ?        SLsl 17:49   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1001/keyring
dam         3688  0.0  0.0  10464  5120 ?        Ss   17:49   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
dam         3715  0.0  0.0 551688 14976 ?        Ssl  17:49   0:00 /usr/lib/x86_64-linux-gnu/cinnamon-session-binary --session cinnamon
dam         3929  0.0  0.0 453216 24972 ?        Sl   17:49   0:00 /usr/bin/csd-automount
dam         3930  0.0  0.0 304212  6144 ?        Sl   17:49   0:00 /usr/bin/csd-settings-remap
dam         3931  0.0  0.0 601804 25864 ?        Sl   17:49   0:00 /usr/bin/csd-power
dam         3933  0.0  0.0 379308 24696 ?        Sl   17:49   0:00 /usr/bin/csd-housekeeping
dam         3934  0.0  0.0 379760 25380 ?        Sl   17:49   0:00 /usr/bin/csd-wacom
dam         3935  0.0  0.0 541436 27128 ?        Sl   17:49   0:00 /usr/bin/csd-color
dam         3939  0.0  0.1 446328 34172 ?        Sl   17:49   0:00 /usr/bin/csd-background
dam         3940  0.0  0.0 383100  7808 ?        Sl   17:49   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
dam         3941  0.0  0.0 303796  5248 ?        Sl   17:49   0:00 /usr/bin/csd-screensaver-proxy
dam         3945  0.0  0.0 381732 27528 ?        Sl   17:49   0:00 /usr/bin/csd-xsettings
dam         3951  0.0  0.0 379080 25300 ?        Sl   17:49   0:01 /usr/bin/csd-keyboard
dam         3952  0.0  0.0   9556  4864 ?        S    17:49   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1001/at-spi/bus_0
dam         3953  0.0  0.0 671040 27780 ?        Sl   17:49   0:00 /usr/bin/csd-media-keys
dam         3954  0.0  0.0 305092 24204 ?        Sl   17:49   0:00 /usr/bin/csd-clipboard
dam         3955  0.0  0.0 318044 10880 ?        Sl   17:49   0:00 /usr/bin/csd-print-notifications
dam         3959  0.0  0.0 305208  6400 ?        Sl   17:49   0:00 /usr/bin/csd-a11y-settings
dam         3962  0.0  0.0 230372  6016 ?        Ssl  17:49   0:00 /usr/libexec/dconf-service
dam         4000  0.0  0.0 317236  8192 ?        Ssl  17:49   0:00 /usr/libexec/gvfsd
dam         4013  0.0  0.0 462632  7296 ?        Sl   17:49   0:00 /usr/libexec/gvfsd-fuse /run/user/1001/gvfs -f
dam         4026  0.0  0.0 419012 15104 ?        Sl   17:49   0:00 /usr/libexec/csd-printer
dam         4033  0.0  0.0 236164  7680 ?        Sl   17:49   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
dam         4054  0.0  0.0 392320 10496 ?        Ssl  17:49   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
dam         4065  0.0  0.0 313636  7040 ?        Ssl  17:49   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
dam         4070  0.0  0.0 312548  6528 ?        Ssl  17:49   0:00 /usr/libexec/gvfs-goa-volume-monitor
dam         4075  0.0  0.0 549744 23808 ?        Sl   17:49   0:00 /usr/libexec/goa-daemon
